Game,比數,主客,得分,失分,勝敗,Date,VSTeam,Level,潛力組,少棒組,Mini,Coach,Note,Unnamed: 14,Unnamed: 15
主委盃,1:2 ,主,2.0,1.0,W,2021-10-30,敦化,U10,1.0,,,顏教練,亞軍,,
主委盃,1:10,主,1.0,10.0,L,2021-10-30,小小馬,U10,1.0,,,杜教練,亞軍,,
主委盃,1:2,主,2.0,1.0,W,2021-11-06,六家,U10,1.0,,,杜教練,亞軍,,
主委盃,19:4,客,4.0,19.0,L,2021-11-13,Monga,U10,1.0,,,顏教練,亞軍,,
主委盃,3:4,主,4.0,3.0,W,2021-11-13,基隆家扶,U10,1.0,,,顏教練,亞軍,,
主委盃,8:2,客,8.0,2.0,W,2021-12-11,Monga,U10,1.0,,,顏教練,亞軍,,
主委盃,7:0,主,0.0,7.0,L,2021-12-11,小小馬,U10,1.0,,,顏教練,亞軍,,
加蚋盃,14:21,客,14.0,21.0,L,2022-01-15,桃源,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,24:19,客,24.0,19.0,W,2022-01-15,華興,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,5:30,客,5.0,30.0,L,2022-01-15,東園,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,29:22,客,21.0,29.0,W,2022-01-15,藍閃,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,13:24,主,24.0,13.0,W,2022-01-15,東園紅,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,16:19,主,16.0,19.0,L,2022-01-15,光復,U10,,,1.0,家長,明日之星 U9 Minibaseball,,
加蚋盃,11:9,客,11.0,9.0,W,2022-01-16,桃源,U10,,,1.0,郭教練,明日之星 U10,,
加蚋盃,10:16,主,16.0,10.0,W,2022-01-16,光芒,U10,,,1.0,郭教練,明日之星 U10,,
加蚋盃,22:8,主,8.0,22.0,L,2022-01-16,海德社區,U10,,,1.0,郭教練,明日之星 U10,,
就是棒春季聯賽,9:4,客,9.0,4.0,W,2022-03-19,WBC,U10,1.0,,,Vincent,例行賽,,
就是棒春季聯賽,14:1,主,1.0,14.0,L,2022-03-19,光復,U10,1.0,,,Vincent,例行賽,,
就是棒春季聯賽,1:11,客,1.0,11.0,L,2022-04-16,WHB,U10,1.0,,,Vincent,例行賽,,
就是棒春季聯賽,8:4,主,4.0,8.0,L,2022-04-16,黑豹,U10,1.0,,,Vincent,例行賽,,
就是棒春季聯賽,17:2,主,2.0,17.0,L,2022-06-11,小小馬,U10,1.0,,,顏教練,例行賽,,
就是棒春季聯賽,1:7,客,1.0,7.0,L,2022-06-11,魔法師,U10,1.0,,,顏教練,例行賽,,
就是棒春季聯賽,11:7,主,7.0,11.0,L,2022-06-18,親子勇士,U10,1.0,,,顏教練,例行賽,,
就是棒春季聯賽,15:0,主,0.0,15.0,L,2022-07-02,WHB,U10,1.0,,,顏教練,未來之星組,,
就是棒春季聯賽,5:17,客,5.0,17.0,L,2022-07-02,WBC,U10,1.0,,,顏教練,未來之星組,,
古柏盃,11:7,主,7.0,11.0,L,2022-07-03,KEEP,U10,1.0,,,杜教練,戰鬥組,,
古柏盃,3:1,主,1.0,3.0,L,2022-07-03,海德社區,U10,1.0,,,杜教練,戰鬥組,,
古柏盃,13:4,客,13.0,4.0,W,2022-07-03,中大蜥蜴,U10,1.0,,,杜教練,戰鬥組,,
運動家盃,4:9,主,9.0,4.0,W,2022-08-06,三峽社區,U10,1.0,,,顏教練,C組亞軍,,
運動家盃,0:15,客,0.0,15.0,L,2022-08-06,中大紅襪,U10,1.0,,,顏教練,C組亞軍,,
運動家盃,0:2,客,0.0,2.0,L,2022-08-07,火山_潛,U10,1.0,,,顏教練,C組亞軍,,
